NU_ANO_CENSO,ID_TURMA,NO_TURMA,TP_MEDIACAO_DIDATICO_PEDAGO,TX_HR_INICIAL,TX_MI_INICIAL,IN_DIA_SEMANA_DOMINGO,IN_DIA_SEMANA_SEGUNDA,IN_DIA_SEMANA_TERCA,IN_DIA_SEMANA_QUARTA,IN_DIA_SEMANA_QUINTA,IN_DIA_SEMANA_SEXTA,IN_DIA_SEMANA_SABADO,NU_DIAS_ATIVIDADE,NU_DURACAO_TURMA,TP_TIPO_ATENDIMENTO_TURMA,TP_TIPO_LOCAL_TURMA,CO_TIPO_ATIVIDADE_1,CO_TIPO_ATIVIDADE_2,CO_TIPO_ATIVIDADE_3,CO_TIPO_ATIVIDADE_4,CO_TIPO_ATIVIDADE_5,CO_TIPO_ATIVIDADE_6,TP_ETAPA_ENSINO,CO_CURSO_EDUC_PROFISSIONAL,IN_ESPECIAL_EXCLUSIVA,IN_REGULAR,IN_EJA,IN_PROFISSIONALIZANTE,QT_MATRICULAS,IN_DISC_LINGUA_PORTUGUESA,IN_DISC_EDUCACAO_FISICA,IN_DISC_ARTES,IN_DISC_LINGUA_INGLES,IN_DISC_LINGUA_ESPANHOL,IN_DISC_LINGUA_FRANCES,IN_DISC_LINGUA_OUTRA,IN_DISC_LIBRAS,IN_DISC_LINGUA_INDIGENA,IN_DISC_PORT_SEGUNDA_LINGUA,IN_DISC_MATEMATICA,IN_DISC_CIENCIAS,IN_DISC_FISICA,IN_DISC_QUIMICA,IN_DISC_BIOLOGIA,IN_DISC_HISTORIA,IN_DISC_GEOGRAFIA,IN_DISC_SOCIOLOGIA,IN_DISC_FILOSOFIA,IN_DISC_ESTUDOS_SOCIAIS,IN_DISC_EST_SOCIAIS_SOCIOLOGIA,IN_DISC_INFORMATICA_COMPUTACAO,IN_DISC_ENSINO_RELIGIOSO,IN_DISC_PROFISSIONALIZANTE,IN_DISC_ESTAGIO_SUPERVISIONADO,IN_DISC_PEDAGOGICAS,IN_DISC_OUTRAS,CO_ENTIDADE,CO_REGIAO,CO_MESORREGIAO,CO_MICRORREGIAO,CO_UF,CO_MUNICIPIO,CO_DISTRITO,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_CATEGORIA_ESCOLA_PRIVADA,IN_CONVENIADA_PP,TP_CONVENIO_PODER_PUBLICO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_OSCIP,IN_MANT_ESCOLA_PRIV_ONG_OSCIP,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,TP_REGULAMENTACAO,TP_LOCALIZACAO_DIFERENCIADA,IN_EDUCACAO_INDIGENA
2020,100593,MATERNAL - I B MAT 2020,1,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,240.0,1,0.0,,,,,,,1.0,,0.0,1.0,0.0,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,17053242,1,1701,17002,17,1702109,170210905,3,1,,,,,,,,,,,1,0,0
2020,150939,1301 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,25.0,,0.0,1.0,0.0,0.0,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,150940,1302 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,25.0,,0.0,1.0,0.0,0.0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,150941,1303 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,25.0,,0.0,1.0,0.0,0.0,31,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,150942,1304 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,25.0,,0.0,1.0,0.0,0.0,29,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,151180,2301 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,26.0,,0.0,1.0,0.0,0.0,23,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,151181,2302 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,26.0,,0.0,1.0,0.0,0.0,17,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,151182,2303 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,26.0,,0.0,1.0,0.0,0.0,18,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,151414,3301 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,27.0,,0.0,1.0,0.0,0.0,16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,151415,3302 EM INTEGRAL,1,7.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,570.0,1,0.0,,,,,,,27.0,,0.0,1.0,0.0,0.0,22,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,,1.0,17005000,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,304418,62 01 - EF MAT - 6� ANO ENSINO FUNDAMENTAL - 2020,1,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,260.0,1,0.0,,,,,,,19.0,,0.0,1.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,,,,1.0,17005485,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,304655,62 02 - EF VEP - 6� ANO ENSINO FUNDAMENTAL - 2020,1,13.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,260.0,1,0.0,,,,,,,19.0,,0.0,1.0,0.0,0.0,28,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,,,,1.0,17005485,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
2020,304700,92 01 - EF MAT - 9� ANO ENSINO FUNDAMENTAL - 2020,1,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,260.0,1,0.0,,,,,,,41.0,,0.0,1.0,0.0,0.0,26,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,,,,1.0,17005485,1,1701,17002,17,1702109,170210905,2,1,,,,,,,,,,,1,0,0
