id;nome;bairro;tipo;isEspecial;capacidade
17005582;Escola Municipal Benedito Canuto Braga;LOTEAMENTO SAO LUIZ;Escola;NAO;850
17005620;Escola Municipal Cabo Luzimar Machado;SETOR PONTES;Escola;NAO;1000
17005990;Escola Municipal Professora Josefa Dias da Silva;ARAGUAINA SUL;Escola;NAO;1210
17006244;Escola Municipal Vereador Raimundo Falcao Coelho;SETOR TIUBA;Escola;SIM;1300
17005434;Escola Municipal Moderna Professora Maria dos Anjos Carreiro;BARROS;Escola;NAO;970
17005647;Escola Municipal Casemiro Ferreira Soares;SETOR URBANO;Escola;NAO;1000
17006201;Escola Municipal Tereza Hilario Ribeiro;RAIZAL;Escola;SIM;1420
17006210;Escola Municipal Tomaz Batista;VILA ALIANCA;Escola;NAO;880
17041538;Escola Municipal Vereador Arnon Ferreira Leal;VILA PATROCINIO;Escola;NAO;1330
17005531;Escola Municipal Meu Castelinho;SETOR OESTE;Escola;SIM;820
17005566;Escola Municipal Aurelio Buarque de Holanda;NEBLINA;Escola;NAO;760
17006147;Escola Municipal Sao Miguel;BARRA DA GROTA POVOADO;Escola;NAO;1030
17041481;Escola Paroquial Sao Vicente de Paulo;VILA COUTO MAGALHAES;Escola;SIM;1060
17050510;Escola Municipal Jose Ferreira Barros;CEU AZUL;Escola;NAO;670
17006090;Escola Paroquial Sao Domingos;SETOR SANTA TEREZINHA;Escola;NAO;700
17006260;Escola Municipal Zeca Barros;VILA SANTIAGO;Escola;SIM;790
17005728;Escola Municipal Dr Cesar Belmino Evangelista;TEREZA HILARIO RIBEIRO;Escola;NAO;760
17005744;Escola Municipal Dr Simao Lutz Kossobutzki;ARAGUAINA SUL;Escola;SIM;760
17053072;Escola Municipal Francisco Bueno de Freitas Pastor Fiico;MARACANA;Escola;NAO;730
17050022;Escola Municipal Santa Luzia;SETOR SANTA LUZIA;Escola;SIM;1150
17055318;Escola Municipal Luiz Gonzaga;LOTEAMENTO COSTA ESMERALDA;Escola;SIM;790
17054478;Escola Municipal William Castelo Branco Martins;PARQUE SONHOS DOURADOS;Escola;NAO;1000
17053080;Escola Municipal Domingos de Souza Lemos;JARDIM DAS FLORES;Escola;SIM;790
17005850;Escola Municipal Manoel Lira;NOVA ARAGUAINA;Escola;NAO;490
17005981;Escola Municipal Prefeito Joao de Sousa Lima;SETOR PLANALTO;Escola;SIM;1030
17005361;Escola Municipal Joaquim de Brito Paranagua;SETOR CARAJAS;Escola;NAO;460
17005884;Escola Municipal Maria da Conceicao Costa Luz;JARDIM PAULISTA;Escola;SIM;730
17006155;Escola Municipal Sao Vicente de Paula;ARAGUAINA SUL;Escola;NAO;1150
17056330;Escola Municipal Jose Gomes Sobrinho;MONTE SINAI;Escola;SIM;1270
17005760;Escola Municipal Gentil Ferreira Brito;SETOR BRASIL;Escola;NAO;1090
17056047;Escola de Tempo Integral Joaquim Carlos Sabino dos Santos;PARQUE DO LAGO;Escola;NAO;550
17005825;Escola Municipal Leia Raquel Dias Mota;VILA RIBEIRO;Escola;SIM;1570
17005949;Escola Municipal Olavo Bilac;JARDIM DAS PALMEIRAS DO NORTE;Escola;SIM;1030
1;CEI Maria de Fatima Santos Oliveira;VILA NORTE;CEI;NAO;1090
2;CEI - Professora Edília Moraes Soares;MANSOES DO LAGO;CEI;SIM;1180
3;CEI Dona Joaquina Mota;JORGE IUNES;CEI;SIM;790
4;Creche Municipal Constantino Pacifico de Oliveira;SETOR BRASIL;CEI;NAO;700
5;CEI São José Operario;BALNEARIO JACUBA;CEI;SIM;460
6;CEI - Centro Educacional Infantil;IMACULADA CONCEICAO;CEI;NAO;400
7;CEI Dona Regina Siqueira Campos;JORGE IUNES;CEI;NAO;640
8;Centro Educ Infantil Mul Pedro Carreiro;RESIDENCIAL CAMARGO;CEI;NAO;1330
9;CEI Nossa Senhora dos Milagres;SENADOR;CEI;NAO;1510
10;Creche Mul Constantino Pacifico De Oliveira;SETOR SANTA TEREZINHA;CEI;NAO;790
11;CEI Municipal Criança Feliz;SETOR VILA NOVA;CEI;NAO;790
12;Centro Educ Infantil Mul Boanice Botelho Kalil;VILA NOVA;CEI;SIM;430
13;Cei Municipal Elisabeth Alves Carvalho;JARDIM SANTA MONICA;CEI;NAO;940
14;CEI Boanice Botelho Kalil;RESIDENCIAL PEDRO BORGES;CEI;NAO;550
15;C.E.I Municipal Otaerson Souza Lima;PARQUE PRIMAVERA;CEI;NAO;850
16;Centro Educacional Infantil Vovô Jorge Frederico;SETOR URBANO;CEI;NAO;400
17;Centro Educ Infantil Mul Otaerson Souza Lima;RESIDENCIAL PEDRO BORGES;CEI;SIM;1360
18;Centro Educ Infantil Mul Natalina Maria De Jesus;JARDIM EUROPA;CEI;NAO;1510
19;CEI Vereador Arnon Ferreira Leal;PARQUE BOM VIVER;CEI;SIM;880
20;Creche Municipal William Castelo Branco Martins;AEROVIARIO;CEI;NAO;1000
